id,title,description,availability,condition,price,sale_price,link,image_link,brand,product_type
PS_75153,Rastreo inteligente de objetos y personas,Rastreo inteligente de objetos y personas,in stock,new,3000.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/08/Portable-Gimbal-Selfie-Auto-Tracking-Phone-Holder-360-Degree-Object-Tracking-Holder-Auto-Face-Smart-Shooting-Camera-Phone-Mount.jpg,JeiperdStore,Variedad
PS_63533,Rizador Profesional KT205,Rizador Profesional KT205,in stock,new,3500.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/08/853DA1CA-B8D4-4881-93CA-EFDC364218FF.jpeg,JeiperdStore,Variedad
PS_46749,Cover Tableta Amazon HD 8/8 plus 10th Gen 2020,Cover Tableta Amazon HD 8/8 plus 10th Gen 2020,in stock,new,1900.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/07/71X6QZ5e1RL._AC_SL1454_-1.jpg,JeiperdStore,Cover y protector pantalla
PS_13343,Capa Secadora de Pelo,Capa Secadora de Pelo,in stock,new,1300.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/07/F94EE0A9-954D-4AD6-AF25-1C28F02C7EC1.jpeg,JeiperdStore,Variedad
PS_99685,Bocina Bluetooth JBL Xtreme 2,Bocina Bluetooth JBL Xtreme 2,in stock,new,21500.00 DOP,19500.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/07/jblxtreme2.jpg,JeiperdStore,Bocinas Inalámbricas
PS_27969,Capturadora de Video 4K 60FPS,Capturadora de Video 4K 60FPS,in stock,new,2500.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/07/capturadora-video.jpg,JeiperdStore,Accesorios
PS_53135,Rizador Profesional de 3 Barreras,Rizador Profesional de 3 Barreras,in stock,new,3200.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/07/619iaD7c3uL._SL1001_.jpg,JeiperdStore,Variedad
PS_16838,Cover iPad 2/3/4ta Gen 9.7 Tipo Libro,Cover iPad 2/3/4ta Gen 9.7 Tipo Libro,in stock,new,2200.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/06/cover-smart-ipad-2-3-4.jpg,JeiperdStore,Cover y protector pantalla
PS_61385,Cable Certificado iPhone (Lightning),Cable Certificado iPhone (Lightning),in stock,new,1100.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/06/cable-lightning-para-iphone-ipad-raton-y-teclado-apple.png,JeiperdStore,Cargadores y cables
PS_18812,Control VR BOX,Control VR BOX,in stock,new,1000.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/06/569a234d04f9bc63fad5f59a-large.jpg,JeiperdStore,Variedad
